longitude,latitude,acq_date
92.2875,21.03123,9/3/2017
92.29331,21.02999,9/3/2017
92.28635,21.02637,9/3/2017
92.28665,21.02991,9/3/2017
92.29246,21.02871,9/3/2017
92.40993,20.7855,9/4/2017
92.40553,20.7849,9/4/2017
92.41058,20.7865,9/4/2017
92.35876,20.93745,9/4/2017
92.358,20.93378,9/4/2017
92.36265,20.93295,9/4/2017
92.36189,20.92927,9/4/2017
92.62186,20.46979,8/30/2017
92.61745,20.47264,8/30/2017
92.62133,20.47319,8/30/2017
92.61691,20.47604,8/30/2017
92.61303,20.47549,8/30/2017
92.3661,20.82351,8/28/2017
92.36424,20.83027,8/28/2017
92.34898,21.16543,8/28/2017
92.34708,21.17214,8/28/2017
92.34025,21.17048,8/28/2017
92.59995,20.49737,8/28/2017
92.5954,20.49696,8/28/2017
92.59479,20.50291,8/28/2017
92.59023,20.50249,8/28/2017
92.42526,20.73356,8/28/2017
92.42593,20.73775,8/28/2017
92.37259,20.82227,8/28/2017
92.39059,20.82395,8/28/2017
92.39452,20.83027,8/28/2017
92.39003,20.82985,8/28/2017
92.36756,20.82775,8/28/2017
92.666,20.571,8/25/2017
92.37251,20.82015,8/28/2017
92.39445,20.82799,8/28/2017
92.37194,20.82605,8/28/2017
92.38997,20.8276,8/28/2017
92.36744,20.82566,8/28/2017
92.39387,20.83389,8/28/2017
92.2313,21.14838,8/28/2017
92.22684,21.15293,8/28/2017
92.38882,20.90099,8/28/2017
92.39105,20.90156,8/28/2017
92.42546,20.72748,8/29/2017
92.42492,20.73182,8/29/2017
92.42053,20.73131,8/29/2017
92.41998,20.73565,8/29/2017
92.39725,20.8837,8/29/2017
92.39287,20.88318,8/29/2017
92.39671,20.88804,8/29/2017
92.39233,20.88752,8/29/2017
92.39417,20.88036,8/29/2017
92.39799,20.88519,8/29/2017
92.39362,20.8847,8/29/2017
92.39307,20.88904,8/29/2017
92.297,21.031,9/3/2017
92.386,20.857,8/30/2017
92.381,20.895,8/28/2017
92.39,20.833,8/28/2017
92.375,20.825,8/28/2017
92.25098,21.30405,9/7/2017
92.50597,20.6227,9/7/2017
92.41926,20.71916,9/11/2017
92.41412,20.71824,9/11/2017
92.42439,20.72007,9/11/2017
92.40897,20.71732,9/11/2017
92.41847,20.72301,9/11/2017
92.41333,20.72209,9/11/2017
92.42077,20.72467,9/11/2017
92.3929,20.78344,9/11/2017
92.38776,20.78251,9/11/2017
92.38698,20.78637,9/11/2017
92.47005,21.0266,9/11/2017
92.465,21.0257,9/11/2017
92.654,20.569,8/25/2017
92.649,20.446,8/28/2017
92.535,20.753,8/28/2017
92.548,20.748,8/28/2017
92.66206,20.41499,8/25/2017
